Date,Adj Close
01/08/2018,27.166191
01/09/2018,28.175894
01/10/2018,27.19231
01/11/2018,25.973703
01/12/2018,22.142967
01/01/2019,24.915205
01/02/2019,23.682123
01/03/2019,23.93574
01/04/2019,25.567127
01/05/2019,23.501009
01/06/2019,24.474232
01/07/2019,24.22657
01/08/2019,21.696886
01/09/2019,23.023643
01/10/2019,22.146591
01/11/2019,22.413736
01/12/2019,23.571375
01/01/2020,21.226894
01/02/2020,19.65818
01/03/2020,10.102495
01/04/2020,14.620528
01/05/2020,14.105784
01/06/2020,14.4941
01/07/2020,14.252279
01/08/2020,14.981762
01/09/2020,10.905775
01/10/2020,12.284773
01/11/2020,15.989557
01/12/2020,17.537828
01/01/2021,17.698595
01/02/2021,20.434341
01/03/2021,22.500109
01/04/2021,27.152622
01/05/2021,30.95117
01/06/2021,28.512598
01/07/2021,25.848412
01/08/2021,24.913788
01/09/2021,29.794588
01/10/2021,32.246605
01/11/2021,31.494692
01/12/2021,34.359573
01/01/2022,39.198597
01/02/2022,42.953693
01/03/2022,46.287292
01/04/2022,48.318764
01/05/2022,53.43589
01/06/2022,45.398827
01/07/2022,46.462624
01/08/2022,47.489101
01/09/2022,41.901581
01/10/2022,53.03717
01/11/2022,55.539104
01/12/2022,47.449188
01/01/2023,53.618023
01/02/2023,48.330639
01/03/2023,49.750401
01/04/2023,50.189587
01/05/2023,44.769543
01/06/2023,50.416237
01/07/2023,53.570053
